"target","fips","samplesize","p1","p2","p3","p4","p5","p6","p7","p8","cverror1","cverror2","cverror3","cverror4","cverror5","cverror6","cverror7","cverror8","MSEout1","MSEout2","MSEout3","MSEout4","MSEout5","MSEout6","MSEout7","MSEout8","MSEoutSA","MSEttest1","MSEttest2","MSEttest3","MSEttest4","MSEttest5","MSEttest6","MSEttest7","MSEttest8"
4,482,256,0,0,"0","0","0",0,1,0,-535.869994555771,-413.453175375018,-430.356028593528,-323.570352591845,-489.018139889975,-501.382507715538,2.11237855393046e+21,-546.011347906655,1865.24860369544,2240.12205336922,2240.12205336922,2315.0625330556,2236.36716627816,2236.36716627816,3.933451176834e+20,1865.54824153561,2732.31034258343,1.92013841053518e-22,2.66724405791113e-32,2.66724405791113e-32,1.70252808666787e-41,6.32525555803556e-19,6.32525555803556e-19,8.17032692039826e-96,9.5108292253671e-23
4,483,16,0.5849,0.5933,"0.31","0.1982","0.1982",0.1982,0.9898,0.6211,-6133.25385975413,2043.68069881181,596.103991012522,5724.32000704217,-2263.27208570579,-2263.27208570579,4743896713278,-2457.47737182975,8115.31539936101,7462.11910608741,7020.08793254685,7565.9578276518,7565.9578276518,7565.9578276518,3.18332571173405e+20,6769.21346279443,7997.39898739005,0.782779066110404,9.71580086763205e-13,1.03062660965614e-29,0.00430013551888607,0.00430013551888607,0.00430013551888607,1.30173209131237e-85,0.000527750016817027
4,483,64,0,0,"0","0","0",0,1,0,-478.3233000296,-142.116598652309,-744.135336657841,355.40127070003,-1230.17222022827,235.373070459171,8.13788025288749e+21,-459.67324269284,4930.84653339866,7032.51493339346,6630.26079510686,7384.98521094562,6257.20418533198,6257.20418533198,3.9148608658801e+21,4894.15449777773,7571.23778450238,1.84035488467801e-21,5.26424256062604e-13,4.53898857692217e-30,0.195672880770573,1.29040334928054e-29,1.29040334928054e-29,2.7057059594722e-91,3.38545568202792e-23
4,483,128,0,0,"0","0","0",0,1,0,-2017.50516857106,-1036.3502401393,-1187.41218562709,5.43532951104316,-880.95395708766,-880.95395708766,1.7496896716471e+19,-2081.75381860513,4982.10171351862,6731.79847447846,6315.00729558874,6731.27831820458,5969.10886741948,5969.10886741948,36625581941859430400,4972.68966089383,7232.55526639968,3.93334513665121e-16,1.54125743908022e-11,6.63626390378615e-27,5.28548076441535e-09,6.11913378177199e-28,6.11913378177199e-28,1.83836319274415e-79,1.7092843189806e-16
4,483,256,0,0,"0","0","0",0,1,0,-3063.42021590565,-790.133022136857,-1227.94504756502,-71.6343041202781,-1592.31695788658,-1592.31695788658,2.2957771857891e+20,-3053.95616720353,4815.56381073003,6896.50187179834,6527.52658595864,7054.96871464715,6035.90496698469,6035.90496698469,2.4169878395899e+20,4815.3865661828,7328.90856729598,5.46370290700704e-27,5.10290601019209e-10,1.17966462074928e-24,0.0485021953330655,3.06456174148364e-30,3.06456174148364e-30,1.32382347255873e-90,2.96809700227757e-27
4,484,16,0.9559,0.8872,"0.4371","0.8238","0.7287",0.7287,0.9898,0.816,-4990.26212168661,63.1852727725272,-92.9704651771972,654.306148652659,316.89953550976,316.89953550976,57022484653.9771,-3059.65928402827,3498.33143323943,3181.7115850614,3039.1031401687,3588.59591737976,3191.19498511942,3191.19498511942,8021020193.33041,3153.65912969274,3440.49465654384,0.746739749773738,1.36339894594906e-10,5.73245349752587e-24,0.0520535631799119,2.5193467050852e-06,2.5193467050852e-06,1.59663605760537e-92,0.0570314879313005
4,484,32,0,0,"0","0","0",0,1,0,1120.84760101691,-374.258683047591,-375.881247270281,-131.503503257637,-398.32182127276,-398.32182127276,22262446303670165504,311.525961005809,2404.33738051601,3237.30328242224,3376.64923772886,3483.72074730077,3121.92205584363,3121.92205584363,82077635904172195840,2387.47884654369,3585.17995971583,1.45273872845587e-21,3.6361603861027e-18,7.82585723902526e-05,5.23879157463246e-05,8.04208825324239e-21,8.04208825324239e-21,1.99150128793658e-95,5.21477033342062e-28
4,484,64,0,0,"0","0","0",0,1,0,-522.753849993565,-315.168697049719,-44.8525527715808,-37.6851245378496,122.302615451655,122.302615451655,118368102297565520,-531.071886200762,2404.03114836819,3221.39909308853,3331.21828236923,3331.21828236923,3430.08749778195,3430.08749778195,457885027340945024,2481.86350143066,3479.15676820021,4.88998104254183e-22,3.32489300052994e-12,8.66378044503713e-11,8.66378044503713e-11,0.27803727896745,0.27803727896745,4.3667086572341e-97,1.0830847475742e-22
4,484,128,0,0,"0","0","0",0,1,0,-1296.75855258671,-210.393852115853,-437.734643714878,97.5063610187781,-414.941660403377,-414.941660403377,8.3839026753468e+19,-1337.2625139862,2347.92011425926,3349.88870646986,3149.37545568667,3580.24106984553,3149.37545568667,3149.37545568667,19623422286541914112,2328.6365705647,3640.12586645629,1.48498730737463e-16,4.20700212987417e-13,2.21980699622184e-29,0.287874808808406,2.21980699622184e-29,2.21980699622184e-29,3.06767755285258e-85,1.25553283161144e-17
4,484,256,0,0,"0","0","0",0,1,0,-1301.47881544151,-223.565572873411,-414.198399204104,93.8371600243518,-281.333440254987,-281.333440254987,15967262231129473024,-1294.12697580296,2166.80803589929,3091.25811045005,2984.21731387262,3607.33377416557,2984.21731387262,2984.21731387262,30140046880624414720,2165.83245122933,3393.86313697756,2.57834170705703e-22,1.02275195708029e-16,3.25738202455697e-25,0.00191246074299048,3.25738202455697e-25,3.25738202455697e-25,1.19642468891533e-95,6.33103937496605e-23
