"target","fips","samplesize","MSEout_OW","MSEout_OW_pos","MSEout_CWM","MSEout_SA","p_OW","p_OW_pos","p_CWM"
1,424,24,34.0696525818542,28.6391385179966,22.6752136752137,30.6246153846154,0.8184,0.9402,"0.9197"
1,424,28,25.3584320037585,21.8627519177025,22.3827160493827,28.2044444444444,0.5412,0.4911,"0.4188"
1,425,12,771.508682373592,425.72195038153,386.2925,410.0272,0.9979,0.8277,"0.0126"
1,425,20,117.192657599789,98.0071879369132,77.1045751633987,64.1505882352941,0.042,0.4518,"9e-04"
1,425,24,38.4276929324686,39.1033943895439,40.6752136752137,43.4892307692308,0.0589,0.0097,"0"
1,425,28,43.5275237553656,44.7367583870766,49.037037037037,55.2933333333333,0.0056,0,"0.0038"
1,426,12,54877.5459580883,16249.4059921272,18481.5108695652,18567.4770531401,0.8951,0.787,"0.9985"
1,426,16,12476.956178279,2296.26315789473,2163.67251461988,1782.70029239766,0.5361,0.2991,"0.1828"
1,426,20,3866.55597213367,1760.63541872688,2281.45925925926,1930.19444444444,0.2373,0.1294,"3e-04"
1,426,24,3373.54690971571,1541.12698702303,1387.73737373737,1444.82828282828,0.0025,0,"0.0146"
1,426,28,4163.40681074006,1344.91153778292,1326.65079365079,1623.23015873016,1e-04,0,"6e-04"
1,427,12,53306.4339413572,24598.4680284012,28993.4592391304,37876.9444444445,0.9948,0.823,"0.1342"
1,427,16,133311.872493678,29314.7082090955,32416.9407894737,43126.9400584795,0.0425,0,"0"
1,427,20,5847.77752798003,5982.76374238418,4490.95733333333,4627.02962962963,1e-04,0,"0"
1,427,24,1908.04750999474,1176.61937073842,1393.12,1500.20707070707,1e-04,0,"0"
1,427,28,1837.10203852258,1268.75553466445,1287.13142857143,1294.1626984127,0,0,"0"
1,428,12,1283.58656470727,472.291240333134,571.0325,550.08,0.9197,0.4418,"0.7879"
1,428,16,455.842201172612,335.842401944016,390.349206349206,382.64,0.2241,0.2228,"0.2227"
1,428,20,498.93944869747,130.506256281656,127.852941176471,131.894117647059,0.7994,0.7167,"0.3156"
1,428,24,380.176966952175,111.880356054616,115.230769230769,123.661538461538,0.3143,0.5658,"0.0562"
1,428,28,270.445927612815,67.8576732251598,74.1388888888889,69.5555555555556,0.1071,0.0459,"0.7578"
1,429,12,226488.429891915,29807.5111757268,35014.7317708333,40350.8391203703,0.9967,0.9864,"0.7185"
1,429,16,9801.8658648894,7574.64775332851,7742.603125,6613.39861111111,0.5187,0,"0"
1,429,20,5573.69105023545,4314.48664680226,4646.2225,4580.88368055555,0.2876,0.0121,"0"
1,429,24,2823.07813963525,3255.33714876677,3022.29,3217.53472222222,0.1316,1e-04,"0"
1,429,28,2575.67316189933,3857.57681379605,3046.055,3495.13888888889,1e-04,0,"0"
1,430,12,879.391621123237,172.883636363636,172.647727272727,198.112727272727,0.8572,0.8826,"0.5376"
1,430,16,448.56613809085,175.111111111111,125.409722222222,101.251111111111,0,0,"0"
1,430,20,46.0180565792901,23.8571428571428,18.9419642857143,18.1257142857143,0.0892,0.0093,"7e-04"
1,430,24,16.1049623578919,12.0598015772381,13.34375,14.344,1e-04,0,"0.0027"
1,430,28,12.4600450534084,13.3032627221816,16.3020833333333,16.58,0,1e-04,"0"
1,431,12,80.2905084090181,51.7391070467994,49.0252525252525,47.6818181818182,0.9172,0.5743,"0.6658"
1,431,16,62.7485975732556,41.4581101519952,35.3024691358025,38.7604166666667,0.9628,0.8444,"0.9327"
1,431,20,40.7088981019051,34.2049046161198,20.5396825396825,19.84375,0.6587,0.992,"0.6754"
1,431,24,5.42862131183851,5.44382550984596,5.23333333333333,6.725,0.975,0.7423,"0.991"
1,431,28,7.94815690981273,7.98967254848628,7.61111111111111,10.0625,0.711,0.6157,"0.9527"
1,432,12,162.986181588366,186.648805472288,197.311111111111,185.3552,0.9535,0.7767,"0.7776"
1,432,16,102.016864368502,118.314178618913,114.869047619048,132.026666666667,0.7807,0.7126,"0.489"
