"condition","judge_draws","judgments_draw","samplesize","MSEout_OW","MSEout_OW_pos","MSEout_CWM","MSEout_SA","p_OW","p_OW_pos","p_CWM"
1,2,37,16,35665.5456443879,33603.7201012474,28066.7708333333,20041.2633333333,0.9974,0.9993,"0.9997"
1,2,38,16,88385.7103827256,29509.4723301859,35511.4140625,27747.9,0.9924,0.9949,"0.9759"
1,2,39,16,24375.1042502886,23851.3097765118,24316.8541666667,24328.5133333333,0.9956,0.9983,"0.9988"
1,2,40,16,76260.0066643744,30081.6406547626,34747.912037037,30461.64,0.9913,0.9924,"0.9927"
1,2,41,16,34702.5041694895,29043.5721311291,24400.6898148148,19440.235,0.991,1,"0.9996"
1,2,42,16,17165.0241701753,17173.5923312376,18463.6033333333,18463.6033333333,0.9996,0.9972,"No need to compare!"
1,2,43,16,27383.6945418155,27542.9488868884,25967.9479166667,25131.02,0.9974,0.9973,"0.99"
1,2,44,16,38622.1272337302,28673.6315461706,21056.3098958333,19818.8083333333,0.9921,0.9489,"0.9969"
1,2,45,16,67659.3545630412,31309.4786927445,33348.7175925926,26566.635,0.9929,0.9773,"0.9594"
1,2,46,16,22192.7170162623,22186.6734119636,26108.3518518518,19899.8433333333,0.9905,0.999,"0.9945"
1,2,47,16,204752.958234846,45562.1645613962,13351.4466666667,13351.4466666667,0.9943,0.9733,"No need to compare!"
1,2,48,16,117096.841455464,27315.7597678274,27802.9114583333,26710.265,0.9918,0.9126,"0.9944"
1,2,49,16,18589.0948914477,18832.3855055975,14147.1614583333,15174.0933333333,0.9968,0.988,"0.959"
1,2,50,16,32731.2206532759,31243.7472606704,24877.0509259259,17214.765,0.9739,0.9982,"0.9949"
1,2,51,16,31836.4701158329,24019.3309875311,22307.6851851852,16543.3883333333,0.9997,0.9997,"0.9985"
1,2,52,16,22948.2389119429,18137.0334890008,18993.3515625,17812.8366666667,0.8758,0.8174,"0.6288"
1,2,53,16,29989.438609814,26140.3046142603,25844.8564814815,13530.2233333333,0.995,1,"0.9954"
1,2,54,16,30287.9993758084,27253.7572472159,27805.2222222222,20197.9716666667,0.998,0.9993,"0.9981"
1,2,55,16,27056.8905200103,24448.4256876001,21107.8567708333,19875.7433333333,0.9893,0.9558,"0.9626"
1,2,56,16,24924.4801716031,24901.1282754718,25395.8932291667,25371.3916666667,0.9904,0.9993,"0.9898"
1,2,57,16,49795.5841915997,32236.4365213041,30353.4921875,21885.8583333333,0.9872,0.9949,"0.9709"
1,2,58,16,100181.472554664,34851.5555759185,35143.5416666667,26135.3683333333,0.991,0.5904,"0.6405"
1,2,59,16,116836.096840733,43401.4553798972,28504.4661458333,21418.21,0.9875,0.9692,"0.9927"
1,2,60,16,43797.1629003525,25184.5972689957,25472.5046296296,15069.985,0.9963,0.9919,"0.9901"
1,2,61,16,24771.7662652411,20990.9767549701,19680.8203125,18621.1,0.9957,0.9445,"0.9545"
1,2,62,16,16132.7981638999,15506.7424058541,14551.5555555555,11733.315,0.9813,0.9235,"0.9923"
1,2,63,16,16010.9863652636,16045.0103310352,15933.2421875,16726.7,0.9944,0.996,"0.9983"
1,2,64,16,18541.7831926262,18368.7126073314,18452.4947916667,19564.7083333333,0.999,0.9777,"0.9991"
1,2,65,16,37249.4624054069,37372.9432306426,29755.4869791667,20743.075,0.9761,0.8946,"0.889"
1,2,66,16,12807.8312682773,12676.2341172165,16719.6388888889,11816.8533333333,0.9985,0.9881,"0.9908"
1,2,67,16,10923.0133134346,11005.9923671514,14618.3518518518,12311.815,0.9981,0.9914,"0.992"
